feature,coefficient_per_sd,odds_ratio_per_sd
elo_diff,0.8614514110853373,2.3665931016479838
opp_elo_avg_diff,0.5146404787836975,1.673036901398246
w_opp_elo_avg_diff,-0.36731884253443603,0.6925887830732504
is_home,0.3101883728369312,1.3636819705804994
talent_diff,0.2445459601890866,1.2770413539376815
returning_diff,0.20819442646621994,1.2314525732470398
win_pct_diff,0.10619213544057066,1.1120355174159473
points_against_pg_diff,-0.10438657471859421,0.9008769738363479
point_diff_pg_diff,0.09846440765303216,1.1034751284257922
w_win_pct_diff,-0.09741581966890585,0.9071787049453528
recruit_rank_diff,0.08982963948968652,1.0939878954929128
recruit_points_diff,0.08246837956708347,1.0859643342337688
w_point_diff_pg_diff,0.08095510456968655,1.084322214361552
w_points_against_pg_diff,-0.07488428479533633,0.927850846567435
w_points_for_pg_diff,0.05175675628157763,1.0531195466411414
points_for_pg_diff,0.05154455198096506,1.0528960938539447
opp_is_fbs,-0.039083733286222486,0.9616701819704127
w_sos_point_diff_pg_diff,0.021274195451847312,1.021502104472266
sos_point_diff_pg_diff,-0.006110229543629428,0.9939083999461099
neutral_site,0.0007490584189565595,1.0007493390332751
