year,n_games,wins,win_rate,margin_mean,win_ci_low,win_ci_high
2014,13,10,0.7692307692307693,11.923076923076923,0.49743126004873084,0.918206209075343
2015,12,3,0.25,3.5,0.08894003962896138,0.53231033912066
2016,12,8,0.6666666666666666,2.8333333333333335,0.3906175873976138,0.8618821601026385
2017,11,5,0.45454545454545453,1.5454545454545454,0.2127095754398805,0.7199122443100117
2018,12,7,0.5833333333333334,6.666666666666667,0.3195073356553728,0.8067425380947535
2019,12,3,0.25,-15.75,0.08894003962896138,0.53231033912066
2020,10,3,0.3,-12.9,0.10778928748621183,0.6032267800204347
2021,12,3,0.25,-9.5,0.08894003962896138,0.53231033912066
2022,12,5,0.4166666666666667,-11.25,0.19325746190524654,0.6804926643446272
2023,12,6,0.5,0.6666666666666666,0.2537781703934222,0.7462218296065778
2024,12,7,0.5833333333333334,4.25,0.3195073356553728,0.8067425380947535
2025,12,9,0.75,8.083333333333334,0.46768966087934005,0.9110599603710386
